STN_ID,STN_KO,STN_SP,LON,LAT,HT,FCT_ID,WRN_ID
704,변산,01111000,126.47755,35.62095,1.94,21F10602,L1060200
706,담양,01111000,126.97266,35.31021,44.67,11F20504,L1050300
707,지도,01111000,126.20839,35.05796,34.31,21F20803,L1052200
708,광산,01111000,126.74524,35.12886,29.91,11F20501,L1050100
709,구례,01111000,127.49355,35.20808,27.0,11F20601,L1050500
710,나주,01111000,126.74397,35.02504,7.82,11F20503,L1050200
711,이양,01110000,126.9898,34.89711,77.34,11F20505,L1050700
712,순천시,01110000,127.51927,34.90351,2.5,11F20603,L1051200
713,광양읍,01110000,127.58259,34.97507,14.95,11F20402,L1051100
714,자은도,01101000,126.02868,34.87909,1.96,21F20803,L1052200
716,하의도,01111000,126.03198,34.63066,2.58,21F20803,L1052200
717,의신,01111000,126.30976,34.42749,11.7,21F20201,L1052300
718,상조도,11111000,126.03646,34.33303,6.42,21F20201,L1052300
719,선유도,01111000,126.3977,35.8088,11.45,21F10501,L1060300
720,보길도,01111000,126.54991,34.15486,27.12,11F20301,L1051600
721,금일,01111000,127.02825,34.33904,4.17,11F20301,L1051600
722,조선대,01111000,126.92875,35.13681,110.87,11F20501,L1050100
723,거문도,01111000,127.30898,34.02792,6.7,11F20401,L1051000
724,추자도,01111000,126.30157,33.95783,8.1,11G00800,L1091000
725,우도,01111000,126.95414,33.52289,9.23,11G00100,L1090800
726,마라도,01111000,126.26786,33.12206,11.58,11G00500,L1090600
727,유수암,01110000,126.39293,33.40986,425.21,11G00901,L1091100
730,장성,11111000,126.7611,35.2794,43.95,11F20502,L1050600
731,영암,01111000,126.68634,34.81666,4.58,21F20802,L1051700
732,보성,01111000,127.09209,34.76192,145.53,11F20404,L1050900
733,함라,01110000,126.8917,36.0461,49.12,11F10202,L1061100
734,완주,01211000,127.24573,35.98551,64.36,11F10204,L1060500
735,덕유산,01111000,127.77306,35.89424,660.36,11F10302,L1060700
736,진봉,01111000,126.78401,35.84679,2.16,21F10502,L1060400
737,김제,01110000,126.87765,35.80905,54.61,21F10502,L1060400
738,줄포,01111000,126.67388,35.57948,16.0,21F10602,L1060200
739,심원,01111000,126.54668,35.52254,12.57,21F10601,L1060100
741,화순,01111000,126.98515,35.05671,94.82,11F20505,L1050700
742,운남,01111000,126.33064,34.93889,12.0,21F20804,L1051800
743,비금,01110000,125.94688,34.77258,8.2,21F20803,L1052200
744,산이,01111000,126.43646,34.67254,5.59,21F20302,21F20302
745,성전,01111000,126.72554,34.68504,49.0,11F20303,L1051400
746,땅끝,01110000,126.5159,34.38184,8.82,11F20302,L1051500
747,청산도,01111000,126.85801,34.18292,24.76,11F20301,L1051600
748,벌교,01111000,127.3631,34.83694,1.6,11F20404,L1050900
749,도양,01111000,127.12715,34.53471,24.96,11F20403,L1050800
750,백야,01111000,127.63568,34.62781,23.0,11F20401,L1051000
751,와산,01110000,126.69387,33.47934,248.0,11G00900,11G00900
752,서광,01110000,126.30599,33.30456,188.42,11G01001,L1091200
753,어리목,01110000,126.4959,33.39304,967.83,11G00300,L1090500
754,함평,11111000,126.52732,35.06037,10.42,21F20101,L1051900
755,백아면,01111000,127.08534,35.15959,187.32,11F20505,L1050700
756,위도,01111000,126.28199,35.60152,4.22,21F10602,L1060200
757,진안주천,01111000,127.43596,35.97436,269.51,11F10303,L1060600
758,동향,01111000,127.57117,35.83521,320.61,11F10303,L1060600
759,뱀사골,01111000,127.57826,35.37162,478.65,11F10401,L1061400
760,복흥,01111000,126.9327,35.42739,281.93,11F10403,L1061000
761,태인,01111000,126.93462,35.65081,14.7,11F10203,L1061200
762,임실강진,01111000,127.18695,35.55169,146.5,11F10402,L1060900
